^,relax_refresh1,relax_refresh1
a,0, L
b,1, R
c,2, X
^,cool_impress1,cool_impress1
a,0, L
b,1, R
c,2, X
^,light_interest1,light_interest1
a,0, L
b,1, R
c,2, X
^,mystery_elegant1,mystery_elegant1
a,0, L
b,1, R
c,2, X
^,classic_creative1,classic_creative1
a,0, L
b,1, R
c,2, X
^,sexy_chic1,sexy_chic1
a,0, L
b,1, R
c,2, X
^,klasiko_malikhain1,klasiko_malikhain1
a,0, L
b,1, R
c,2, X
^,fun_boring1,fun_boring1
a,0, L
b,1, R
c,2, X
^,M_F1,M_F1
a,0, L
b,1, R
c,2, X
^,pretty_adorable1,pretty_adorable1
a,0, L
b,1, R
c,2, X
^,beauty_cute1,beauty_cute1
a,0, L
b,1, R
c,2, X
^,child_profe1,child_profe1
a,0, L
b,1, R
c,2, X
^,calm_live1,calm_live1
a,0, L
b,1, R
c,2, X
^,masikip_maayos1,masikip_maayos1
a,0, L
b,1, R
c,2, X
^,simple_luxury1,simple_luxury1
a,0, L
b,1, R
c,2, X
^,crowded_neat1,crowded_neat1
a,0, L
b,1, R
c,2, X
^,plain_sopshiticated1,plain_sopshiticated1
a,0, L
b,1, R
c,2, X
^,comfort_style1,comfort_style1
a,0, L
b,1, R
c,2, X
^,oldf_future1,oldf_future1
a,0, L
b,1, R
c,2, X
^,gorgeous_charm1,gorgeous_charm1
a,0, L
b,1, R
c,2, X
^,masaya_nakakabagot1,masaya_nakakabagot1
a,0, L
b,1, R
c,2, X
^,college1,college1
a,0, CCS
b,1, CED
c,2, CLA
d,3, COB
e,4, COE
f,5, COS
g,6, SOE
^,gender1,gender1
a,0, F
b,1, M
^,highschool11,highschool11
a,0, PRIVATE
b,1, PUBLIC
^,highschool21,highschool21
a,0, Co-ed
b,1, Exclusive (All boys/girls)
^,device1,device1
a,0, MOB
b,1, PC
c,2, TAB
^,hobbies1,hobbies1
a,0, ART
b,1, LITERATURE
c,2, SOCIAL
d,3, SPORTS
e,4, TECH
f,5, TECHConsumer
g,6, TECHCreator
^,primaryshop1,primaryshop1
a,0, Online
b,1, Retail Store
^,shopnumber1,shopnumber1
a,0, 1-3 websites
b,1, 3-6 websites
c,2, 7 above
^,shophours1,shophours1
a,0, 1-2hours
b,1, 3-4hours
c,2, 5 above
d,3, none
^,shopitems1,shopitems1
a,0, 1-10items
b,1, 11-20items
c,2, above 20
d,3, none
^,products1,products1
a,0, accessories
b,1, apparel
c,2, footwear
^,price1,price1
a,0, above
b,1, average
c,2, below
^,designorfunctionality1,designorfunctionality1
a,0, design
b,1, functionality
^,homepage1,homepage1
a,0, detailed
b,1, simple
^,header_color1,header_color1
a,0, #0D47A1
b,1, #1B5E20
c,2, #2196F3
d,3, #3E2723
e,4, #880E4F
f,5, #90CAF9
g,6, #A5D6A7
h,7, #E91E63
i,8, #EF9A9A
j,9, #F44336
k,10, #F48FB1
l,11, #FFEB3B
m,12, #FFF59D
^,header_font_color1,header_font_color1
a,0, #0D47A1
b,1, #3E2723
c,2, #79FF48
d,3, #880E4F
e,4, #90CAF9
f,5, #A5D6A7
g,6, #B71C1C
h,7, #BCAAA4
i,8, #F48FB1
j,9, #F57F17
k,10, #FFEB3B
l,11, #FFF59D
^,header_font_weight1,header_font_weight1
a,0,500
b,1,700
^,header_letter_spacing1,header_letter_spacing1
a,0,0
b,1,1
^,top_bottom_padding1,top_bottom_padding1
a,0,0
b,1,8
c,2,12
d,3,16
e,4,24
^,left_right_padding1,left_right_padding1
a,0,0
b,1,8
c,2,12
d,3,16
e,4,24
^,text_align1,text_align1
a,0, Left
b,1, Right
^,text_size1,text_size1
a,0, Large
b,1, Medium
c,2, Small
^,top_bottom_margin1,top_bottom_margin1
a,0,8
b,1,12
c,2,16
d,3,24
^,left_right_margin1,left_right_margin1
a,0,8
b,1,12
c,2,16
d,3,24
^,border_radius1,border_radius1
a,0,0
b,1,25
^,button_bg_color1,button_bg_color1
a,0, #0D47A1
b,1, #2196F3
c,2, #3E2723
d,3, #880E4F
e,4, #90CAF9
f,5, #A5D6A7
g,6, #B71C1C
h,7, #BCAAA4
i,8, #E91E63
j,9, #EF9A9A
k,10, #F44336
l,11, #F48FB1
m,12, #FFEB3B
n,13, #FFF59D
^,button_font_color1,button_font_color1
a,0, #0D47A1
b,1, #1B5E20
c,2, #2196F3
d,3, #3E2723
e,4, #880E4F
f,5, #B71C1C
g,6, #EF9A9A
h,7, #F48FB1
i,8, #F57F17
j,9, #FFEB3B
k,10, #FFF59D
^,font_serif1,font_serif1
a,0, Merriweather
b,1, Roboto Slab
c,2, Slabo 27px
^,font_sans_serif1,font_sans_serif1
a,0, Lato
b,1, Open Sans
c,2, Roboto
